,hospital_only,hglm,nn
238,-1.8463289,-2.644756,-1.77029
239,-1.8460327,-2.484257,-1.7624911
240,-1.8452494,-2.571643,-1.7314562
241,-1.8914232,-2.6474462,-1.7721928
242,-2.0238628,-2.5791736,-1.7669284
243,-1.9016691,-2.799417,-1.9063007
244,-1.6500335,-2.137319,-1.6056638
245,-2.062522,-2.866457,-1.9495822
246,-1.9598653,-2.6452076,-1.8297776
247,-1.8790396,-2.412545,-1.7641224
248,-1.5617805,-2.3775125,-1.771322
249,-1.8766769,-2.4697824,-1.7897784
250,-1.6318158,-2.6815224,-1.8057109
251,-1.8968968,-2.6254857,-1.7925156
252,-1.7670733,-2.4716728,-1.7054509
253,-2.1930578,-2.9917293,-2.0432255
254,-1.5828131,-2.277267,-1.5270973
255,-2.0164757,-2.7886596,-1.8816389
256,-1.9176259,-2.369549,-1.7329407
257,-2.1944892,-2.8723779,-1.9888735
258,-2.1444998,-3.1008232,-2.1195345
259,-2.280706,-2.9340608,-1.9766148
260,-1.7357086,-2.457505,-1.6851574
261,-1.9426345,-2.7957413,-1.8847587
262,-2.082383,-2.9633462,-1.8961811
263,-1.8569757,-2.6482525,-1.7350862
264,-2.0108285,-2.9792132,-1.887028
265,-2.0123215,-2.9583578,-1.9404727
266,-1.8721738,-2.5193028,-1.7098649
267,-1.9985899,-2.7085776,-1.8851901
268,-1.717268,-2.3212733,-1.568263
269,-1.9372126,-2.675868,-1.8731592
270,-1.8214207,-2.8254702,-1.9003048
271,-2.1161811,-3.0740778,-1.9882269
272,-2.0787902,-2.780447,-1.864046
273,-1.7991002,-2.117935,-1.5815903
274,-1.9136283,-2.5681713,-1.7848934
275,-1.6994302,-2.5672526,-1.7473888
276,-1.8949854,-2.492301,-1.7817256
277,-1.7484256,-2.5037153,-1.7160237
278,-1.8529551,-2.687754,-1.867039
279,-1.8772328,-1.9861674,-1.6546538
280,-1.9075547,-2.672938,-1.8445414
281,-1.7460421,-2.4042633,-1.6472157
282,-1.9732847,-2.726811,-1.8342432
283,-1.8270015,-2.6978135,-1.8402777
284,-1.8702506,-2.4208562,-1.5833379
285,-2.017353,-2.8050716,-1.9289683
286,-2.1114364,-2.7804925,-1.8834119
287,-1.9583902,-2.5959005,-1.8305322
288,-1.6790293,-2.3242962,-1.636647
289,-1.9876912,-2.827729,-1.9117799
290,-2.1225975,-2.9439,-1.9068183
291,-2.171872,-2.8755813,-1.8717413
292,-1.6750649,-2.345148,-1.6386946
293,-2.1226947,-2.8456829,-1.8742204
294,-1.9404418,-2.6802886,-1.8278426
295,-1.7881566,-2.4635606,-1.685823
296,-2.146664,-2.8920512,-1.8980564
297,-1.9861357,-2.6242282,-1.7570854
298,-1.6233406,-2.4393024,-1.6355397
299,-1.8786988,-2.7062733,-1.8539112
300,-2.0158565,-3.047761,-1.9530799
301,-1.6022177,-2.4147153,-1.6298871
302,-2.0864863,-2.9264846,-1.9535079
303,-1.7392967,-2.3705885,-1.5685022
304,-1.9479887,-2.4696174,-1.7374896
305,-2.2652388,-3.0787368,-1.850713
306,-1.7847998,-2.5088806,-1.7562586
307,-2.0607035,-2.911941,-1.8931719
308,-2.188032,-2.9034622,-1.8399408
309,-2.0061014,-2.8967648,-1.8685312
310,-1.9787056,-2.643855,-1.8411845
311,-2.0359313,-2.7255995,-1.889314
312,-1.7057121,-2.3871446,-1.6421628
313,-2.1608546,-3.1130178,-1.9713736
314,-2.0006657,-2.8581645,-1.930932
315,-2.0815396,-2.8281035,-1.8899871
316,-1.9027755,-2.6288087,-1.8357182
317,-1.6184982,-2.5207698,-1.8954418
318,-1.6475312,-2.4412403,-1.7199193
319,-2.1656964,-2.8776276,-2.018012
320,-1.8564098,-2.5734808,-1.699259
321,-1.8180361,-2.585622,-1.777842
322,-1.897505,-2.6570196,-1.8243533
323,-1.8231752,-2.4331064,-1.7291607
324,-1.7333865,-2.4446733,-1.7620416
325,-2.1951382,-3.176252,-2.0538623
326,-1.8819114,-2.5860279,-1.7907041
327,-1.883583,-2.649715,-1.7535282
328,-1.9956188,-2.3596501,-1.6807917
329,-1.9906299,-2.8921027,-1.9232758
330,-2.1405118,-2.81109,-1.9479716
331,-1.7288499,-2.548404,-1.801267
332,-2.0219996,-2.7655563,-1.8883774
333,-2.0572703,-2.6894689,-1.8357515
334,-2.153845,-3.1677756,-1.9742856
335,-2.0745528,-2.472377,-1.6700225
336,-1.7272635,-2.4004712,-1.6262436
337,-1.9343823,-2.7881122,-1.8760023
338,-1.9101362,-2.6707919,-1.8420595
339,-1.9886758,-2.7547648,-1.8815191
340,-1.8336749,-2.4517221,-1.7622356
341,-1.5568495,-2.170567,-1.5332408
342,-1.9151542,-2.8614268,-1.9536939
343,-1.8443455,-2.5382023,-1.8004847
344,-1.8177762,-2.3466494,-1.7241513
345,-1.7809665,-2.257898,-1.6609161
346,-2.2318268,-2.9318378,-1.9438841
347,-1.9687681,-2.58745,-1.8230381
348,-1.7384545,-2.450639,-1.7217722
349,-1.9579655,-2.587003,-1.743125
350,-1.9955744,-2.9032779,-1.875242
351,-1.8932518,-2.665003,-1.7823066
352,-1.9976919,-2.6277776,-1.828759
353,-2.3297849,-3.1725333,-1.9488785
354,-2.0647252,-2.7689815,-1.866518
355,-1.8787163,-2.4002936,-1.7209207
356,-1.9547106,-2.6461718,-1.7805455
357,-1.8925153,-2.8235686,-1.932209
358,-1.9715952,-2.5680451,-1.7421614
359,-1.9200995,-2.4278088,-1.7589031
360,-1.8106909,-2.350534,-1.611337
361,-1.9999421,-3.0322857,-1.942799
362,-1.9133729,-2.6556454,-1.7908186
363,-1.8669617,-2.831071,-1.8825493
364,-1.822779,-2.473634,-1.6413146
365,-1.9247944,-2.8064582,-2.0012097
366,-1.6950423,-2.3752728,-1.5535544
367,-2.0501025,-2.7995703,-1.9365393
368,-2.0204506,-2.7068326,-1.8618559
369,-1.8353221,-2.4085414,-1.6057066
370,-1.8748157,-2.4365168,-1.7749599
371,-1.8127031,-2.480151,-1.7077162
372,-2.0437975,-2.5963001,-1.7895044
373,-2.0005164,-2.6484377,-1.8535222
374,-1.8159373,-2.7635174,-1.8178895
375,-2.1277895,-2.9292383,-1.9773753
376,-1.6935351,-2.503629,-1.689333
377,-1.8873926,-2.5986962,-1.8288332
378,-1.9950851,-2.750082,-1.8844028
379,-1.9312716,-2.655535,-1.8206683
380,-1.7327031,-2.6356485,-1.780991
381,-2.0368106,-2.9806993,-1.9104733
382,-2.0032332,-2.6139474,-1.7087655
383,-1.9641669,-2.7363274,-1.8804677
384,-2.17875,-2.8868923,-1.8201075
385,-2.0201457,-2.8552296,-1.8773364
386,-2.0166411,-2.7625878,-1.9051232
387,-2.2054725,-2.8981428,-1.9362497
388,-1.6345621,-2.3951433,-1.6718218
389,-1.948179,-2.529264,-1.7903664
390,-2.1151338,-2.802024,-1.9571631
391,-2.172721,-3.1862063,-1.9862375
392,-1.8387041,-2.5205734,-1.7806871
393,-2.0104892,-2.9488933,-1.8992704
394,-1.9086728,-2.8022249,-1.8973356
395,-1.9285923,-2.726085,-1.8391744
396,-2.029219,-2.6867304,-1.8734007
397,-1.9426221,-2.8275647,-1.8973682
398,-1.8742844,-2.5506175,-1.8202413
399,-1.9206848,-2.356719,-1.6955081
400,-2.071067,-2.9014192,-1.9006398
401,-2.1257496,-2.8536685,-1.9149592
402,-1.9408388,-2.73329,-1.8587295
403,-1.9648081,-2.812656,-1.8633732
404,-2.056346,-2.9144795,-1.9077895
405,-1.892441,-2.6064315,-1.8076303
406,-1.97831,-2.7075918,-1.8043009
407,-2.0402503,-2.723751,-1.877735
408,-1.8399055,-2.5169325,-1.6437999
409,-1.9143873,-2.4794693,-1.7169864
410,-1.7403309,-2.377675,-1.6595756
411,-1.9567698,-2.6700766,-1.7784839
412,-1.8217008,-2.5986314,-1.800749
413,-1.8545415,-2.6920109,-1.8900139
414,-1.6794804,-2.0452342,-1.5308312
415,-1.6183294,-2.6626298,-1.7755501
416,-1.9821403,-2.7003334,-1.8314917
417,-1.7794799,-2.4135232,-1.7050514
418,-1.9247066,-2.624498,-1.9005309
419,-1.6723142,-2.0912647,-1.6075612
420,-1.920599,-2.7215667,-1.9028728
421,-2.074413,-2.9457643,-2.0128386
422,-1.9002514,-2.6981099,-1.7985021
423,-2.0537045,-2.6853225,-1.894905
424,-1.8930626,-2.6906693,-1.8441133
425,-1.9191338,-2.789451,-1.8776203
426,-1.7286894,-2.454405,-1.700126
427,-1.9508054,-2.6939917,-1.8236644
428,-1.9283485,-2.6893103,-1.7922087
429,-1.7944946,-2.5444462,-1.7331734
430,-1.9758649,-2.5000901,-1.7645695
431,-1.9421515,-2.576892,-1.8136891
432,-2.1337547,-2.98958,-1.922683
433,-2.0172515,-2.727701,-1.8863798
434,-2.0931287,-2.7716024,-1.8747156
435,-1.810449,-2.175557,-1.6949507
436,-1.8591108,-2.6227684,-1.8254759
437,-2.070091,-3.1841762,-1.938318
438,-1.8467624,-2.535328,-1.7797319
439,-1.992015,-2.4063854,-1.6755944
440,-1.9766221,-2.6054506,-1.8125998
441,-1.9402038,-2.559595,-1.7947738
442,-1.8821554,-2.5573242,-1.7413733
443,-2.1084533,-2.888606,-1.9615275
444,-2.0327978,-2.770507,-1.927638
445,-1.8372436,-2.661011,-1.7732291
446,-2.089463,-3.0037758,-1.9442962
447,-2.320189,-3.1042943,-1.8536328
448,-2.0013533,-2.8020654,-1.8498167
449,-1.9488578,-2.6207004,-1.8033854
450,-2.1581006,-2.7376795,-1.8191801
451,-2.0641856,-2.863806,-2.0515587
452,-1.9494035,-2.7826078,-1.8476524
453,-1.836352,-2.6043582,-1.7914888
454,-1.8406229,-2.2957187,-1.724013
455,-1.8149928,-2.4589298,-1.7422518
456,-1.8268924,-2.5036843,-1.7520889
457,-2.134994,-2.9307013,-1.995293
458,-1.9324281,-2.6826992,-1.8667084
459,-1.9683336,-2.8416305,-1.9434683
460,-1.9802161,-2.6358144,-1.8729967
461,-1.9844736,-2.263859,-1.7458
462,-1.9788839,-2.5873091,-1.7032061
463,-1.9317899,-2.594422,-1.8034441
464,-1.9181249,-2.6896555,-1.813239
465,-2.0294719,-2.8726382,-1.9242965
466,-1.9753027,-2.5901995,-1.7845236
467,-1.8877102,-2.6535332,-1.8191215
468,-1.9350425,-2.73742,-1.8231074
469,-1.9833181,-2.6506608,-1.8037832
470,-1.9691265,-2.8484848,-1.9540304
471,-2.365525,-2.928176,-2.0409682
472,-1.9586612,-2.7980833,-1.9107132
473,-1.9618602,-2.8699017,-1.9314027
474,-1.930366,-2.661202,-1.822733
475,-2.0058982,-2.7553525,-1.8619509
476,-2.013447,-2.9011261,-1.8792934
477,-2.400751,-3.004366,-1.9280049
478,-1.8841808,-2.6952126,-1.8193171
479,-2.1526153,-2.936381,-1.8809992
480,-1.8900659,-2.677382,-1.8631905
481,-1.8342887,-2.6293013,-1.804132
482,-1.8123664,-2.367316,-1.6428334
483,-1.971314,-2.8436944,-1.9240662
484,-1.8560358,-2.6287358,-1.8189038
485,-2.037507,-2.680097,-1.8128468
486,-1.8613434,-2.2680726,-1.7145814
487,-1.9815986,-2.7027984,-1.8157282
488,-2.1205406,-3.2368972,-1.8417251
489,-1.757318,-2.2580433,-1.6481313
490,-2.2299726,-2.8586514,-1.9308015
491,-2.015488,-2.8431938,-1.9676034
492,-2.114855,-2.8711557,-1.9242808
493,-2.1057122,-2.8845985,-1.8986638
494,-2.0278568,-2.710742,-1.8202195
495,-2.1320777,-2.80004,-1.8873769
496,-1.9398451,-2.508354,-1.7587123
497,-1.7691702,-2.5983582,-1.811226
498,-2.0413337,-2.7680118,-1.9514121
499,-2.1764457,-2.837753,-1.9083688
500,-2.0465162,-2.7904274,-1.8890991
501,-1.9331429,-2.5570858,-1.8030665
502,-1.9364065,-2.6693325,-1.8564508
503,-1.6727151,-2.5860784,-1.7346458
504,-1.6720979,-2.3080764,-1.5411472
505,-1.9789486,-2.717614,-1.838447
506,-1.7624592,-2.4739523,-1.6644553
507,-1.9312756,-2.6483748,-1.8255031
508,-1.9324268,-2.9431572,-1.9203176
509,-1.903362,-2.557083,-1.7976353
510,-1.6975572,-2.4720924,-1.6781253
511,-1.9635267,-2.9165745,-1.888407
512,-1.7720951,-2.4443748,-1.7209176
513,-1.9521183,-2.5586555,-1.7719167
514,-2.0693438,-2.8101256,-1.9231812
515,-1.915551,-2.4638124,-1.7483295
516,-2.0904608,-2.8022833,-1.9458402
517,-1.9594182,-2.652572,-1.843709
518,-1.9269999,-2.4475904,-1.6648929
519,-2.3172188,-3.010693,-2.0043232
520,-1.9669884,-2.8113375,-1.87761
521,-1.9195154,-2.708729,-1.8278503
522,-2.1228533,-2.9156837,-1.9293771
523,-2.021637,-3.0153232,-1.884405
524,-1.7503059,-2.3589864,-1.5918803
525,-1.8599421,-2.4854069,-1.7454863
526,-2.004749,-2.8829076,-1.9258215
527,-1.8312691,-2.5372496,-1.7710857
528,-1.8091153,-2.6500711,-1.8041925
529,-1.8691251,-2.5732973,-1.7765263
530,-1.8616527,-2.642404,-1.8466554
531,-1.9579475,-2.7477233,-1.8507187
532,-1.9767258,-2.7432816,-1.9158494
533,-2.1154413,-2.5944107,-1.7861999
534,-1.7803516,-2.6835475,-1.8765475
535,-2.0053024,-2.636299,-1.8320099
536,-2.041385,-2.8262892,-1.8943554
537,-2.0108087,-2.7895808,-1.890564
538,-1.7773404,-2.426048,-1.7327205
539,-1.9979366,-2.6322286,-1.8364173
540,-2.087141,-2.9204042,-1.9514874
541,-1.932725,-2.5921204,-1.7847921
542,-1.7836,-2.5197082,-1.7283918
543,-2.0828109,-2.8081455,-1.8961362
544,-2.1167629,-2.9070954,-1.9487587
545,-2.0797055,-2.7749677,-1.8563467
546,-2.0466373,-2.756902,-1.853781
547,-1.7668375,-2.315128,-1.6823819
548,-2.000783,-2.6174748,-1.777472
549,-1.9715389,-2.5880346,-1.7274727
550,-2.1728451,-2.9194777,-2.0061283
551,-2.0594988,-2.7244823,-1.856479
552,-2.02222,-2.8855023,-1.9898891
553,-1.9848231,-2.731881,-1.8753098
554,-1.9082471,-2.7562237,-1.8898396
555,-2.0649223,-3.1433449,-1.9162818
556,-2.079285,-2.7384028,-1.8801107
557,-1.9888403,-2.7030275,-1.8542475
558,-2.0382035,-2.731292,-1.8926005
559,-1.7941873,-2.3643208,-1.6440965
560,-2.0370078,-2.7147205,-1.8619808
561,-1.9938426,-2.8348265,-1.9073796
562,-1.99493,-2.7643876,-1.870792
563,-1.9582412,-2.7090251,-1.8118525
564,-1.7295448,-2.6053252,-1.8697321
565,-1.9135488,-2.4997656,-1.7886949
566,-1.9768453,-2.6979425,-1.8322105
567,-1.8152173,-2.5511625,-1.7505457
568,-1.9275352,-2.6715343,-1.8254851
569,-1.9449493,-2.5948875,-1.8104482
570,-1.8027967,-2.1910727,-1.6918255
571,-1.839933,-2.5753872,-1.7915053
572,-1.9759686,-2.7521307,-1.8873729
573,-2.3630521,-3.0621629,-2.123619
574,-2.1965556,-3.0433834,-1.9560312
575,-2.0646794,-2.9014766,-1.862498
576,-2.0220323,-2.7795537,-1.9272282
577,-2.0053458,-2.892723,-1.8709085
578,-1.8330501,-2.5631502,-1.7450054
579,-2.0015833,-2.7989917,-1.8855964
580,-1.9918402,-2.7818916,-1.9123863
581,-1.9640085,-2.6807616,-1.8234355
582,-1.8853943,-2.5469456,-1.8059222
583,-1.9871503,-2.6536262,-1.8233751
584,-1.8597648,-2.7573597,-1.8577554
585,-1.9320494,-2.5277479,-1.7523236
586,-1.923271,-2.650697,-1.7754794
587,-1.9490857,-2.802159,-1.882646
588,-1.9338003,-2.6428723,-1.8174762
589,-1.5772276,-2.2741263,-1.6068394
590,-1.9281185,-2.654279,-1.7549999
591,-1.8998107,-2.6581173,-1.8386358
592,-2.1873696,-2.8191168,-2.038374
593,-1.7916386,-2.388583,-1.5401012
594,-1.9633931,-2.7783494,-1.8506957
595,-1.9142146,-2.528339,-1.76305
596,-1.9364789,-2.67214,-1.791708
