,hospital_only,hglm,nn
64,0.076633655,0.1524897,0.02975361
65,-0.1690679,-0.013294916,0.0005434797
66,0.17436081,0.30847096,0.15259369
67,-0.1693503,-0.2793101,-0.16801028
68,-0.24667284,-0.4560557,-0.023229662
69,-0.03458889,-0.18501845,-0.03037931
70,0.09228456,0.27514473,0.16457455
71,0.2572409,0.20543341,0.14804019
72,-0.2701648,-0.14767452,-0.057307027
73,-0.113736026,-0.11680415,-0.052770227
74,0.035636555,-0.064063914,0.01380254
75,-0.0881962,-0.23141332,-0.1459186
76,-0.04272094,0.086796634,0.08156548
77,0.0017206413,-0.116970405,-0.101039864
78,0.21782702,0.1957627,0.12928177
79,-0.06722444,-0.005472094,-0.011330655
80,0.07445195,0.23451805,0.24617328
81,0.15004018,0.12116645,0.08301016
82,-0.10293382,-0.14298536,-0.10663373
83,0.01930905,0.11908059,0.043370362
84,-0.14087583,-0.16525201,-0.09194391
85,0.32558855,0.09398186,0.014709344
86,0.25602314,-0.0674092,-0.005573195
87,-0.066460595,-0.21479957,-0.070743695
88,0.10123308,0.43340683,0.18488178
89,0.019008426,0.1188652,0.04968091
90,0.04980646,0.06360449,-0.052343257
91,-0.015615565,0.11758447,0.10804361
92,0.23292623,0.2224635,0.1699464
93,-0.02457693,-0.12230633,-0.042584255
94,-0.058128264,-0.17182928,-0.08525223
95,0.07190587,-0.13475856,-0.045410883
96,-0.25669062,-0.04654343,0.009396305
97,-0.25571364,-0.20865923,-0.010381637
98,-0.18852025,-0.022398263,0.040111765
99,0.06962168,-0.23085535,-0.09212195
100,-0.06628949,-0.19748756,-0.0708749
101,0.15206145,0.27398226,0.14824004
102,0.20183441,0.20744494,0.17114198
103,-0.037506595,0.037692036,-0.01748854
104,0.31027916,0.06747966,0.03014983
105,0.017260367,-0.19787396,-0.07436501
106,-0.35036704,-0.39657512,-0.21334092
107,-0.0014466193,-0.119362295,-0.03543515
108,-0.20967163,-0.07127871,-0.05567983
109,-0.08929835,-0.24376322,-0.07137591
110,-0.06770468,-0.16195965,-0.044861946
111,-0.062080126,-0.17446592,-0.036426034
112,0.19350144,0.11617154,0.15372014
113,-0.062696174,-0.12581009,-0.03143284
114,-0.46448523,-0.51824594,-0.039823707
115,-0.21457823,-0.4607408,-0.23039964
116,0.16952524,0.059804592,0.023413299
117,0.26380733,0.25373262,0.23582105
118,0.022904282,0.0999663,0.03465597
119,0.057177756,-0.100764364,-0.027312266
120,-0.010866123,0.031871676,0.076176055
121,-0.07952182,-0.20057777,-0.054037992
122,0.27340314,0.24129912,0.25108892
123,-0.21665911,-0.2099902,-0.115238704
124,0.17931455,0.04090274,0.09538415
125,-0.076868825,-0.24486072,-0.041887913
126,0.05558548,0.14325903,0.10132445
127,-0.0070365695,-0.10935207,-0.03044778
128,0.026503231,0.59884715,0.42575988
129,-0.07961842,-0.1884507,-0.14360775
130,0.015696036,-0.10402891,-0.031515297
131,-0.16458388,-0.38413447,-0.11718588
132,-0.080751,-0.08564144,-0.0027420698
133,0.12336362,0.1605655,0.08072414
134,-0.19119267,-0.16646522,-0.13031782
135,0.084511444,0.033170216,0.048651334
136,0.13602401,0.062083073,0.07658612
137,-0.054891374,-0.16485023,-0.06488759
138,0.1365471,0.10487549,0.09238411
139,-0.12875715,-0.12768707,-0.026643397
140,-0.15558682,-0.15974125,-0.10236768
141,-0.15639918,-0.13134882,-0.060683724
142,-0.07462723,-0.01273686,0.021623014
143,-0.07299674,-0.29458487,-0.097973414
144,-0.20068303,-0.007416474,0.0056013917
145,0.14299068,0.106496826,0.04276193
146,-0.0008610161,-0.014643087,-0.0027245977
147,0.16698918,0.05352834,0.040521614
148,0.05777316,0.04740548,0.012857446
149,0.07323134,-0.021397071,0.08382182
150,0.18078952,0.023755621,0.04423207
151,-0.12648001,-0.34547603,-0.11075262
152,-0.1924363,-0.33645278,-0.094062
153,-0.041416463,-0.057619922,-0.020713318
154,-0.13609841,-0.19880967,-0.09883003
155,-0.04757857,0.074552506,0.01530217
156,0.36607236,0.13558201,0.15036513
157,-0.06555647,-0.12743284,-0.07268042
158,-0.14522693,-0.35041788,-0.18218642
159,-0.12931783,-0.14554255,-0.121476226
160,0.116071574,0.088780575,0.10943816
161,-0.16867842,-0.034168642,-0.018387126
162,-0.029958721,0.0036938777,-0.0027999952
163,0.07534944,-0.11586035,-0.047266696
164,-0.11939727,-0.2122488,-0.054377858
165,-0.16579531,-0.17024817,-0.09947611
166,-0.1412641,-0.42521003,-0.19208811
167,0.062383328,0.026315838,0.04069556
168,-0.051656656,0.004414619,0.014498582
169,-0.093474865,-0.31053504,-0.055256836
170,-0.12012557,-0.1261838,-0.04282492
171,0.079928786,0.14995578,0.1035563
172,0.0410279,-0.20736766,-0.08800237
173,0.2277874,0.0704712,0.108598754
174,0.016330965,-0.09973929,-0.08693301
175,0.004411814,0.18112475,0.053999275
176,-0.064334914,-0.16975683,-0.08215143
177,-0.061335593,-0.18687333,-0.1383192
178,-0.08859706,-0.37139428,-0.06265381
179,0.16197664,0.022029659,0.009526525
180,0.36732426,0.29678476,0.03106103
181,-0.10697912,-0.36944708,-0.1094408
182,0.13574955,0.3509089,0.18403396
183,0.03391794,0.21980281,0.24473915
184,-0.032406673,-0.16447021,-0.057518013
185,-0.045168355,-0.036823686,-0.0018374929
186,-0.15552206,-0.28623256,-0.098567955
187,0.14478229,0.06175271,0.02494875
188,-0.14941545,-0.23478621,-0.12034767
189,0.060618456,0.26827493,0.07470175
190,-0.17895623,-0.25764284,-0.1824765
191,0.06441074,0.08208352,0.045256123
192,0.07023562,-0.04213222,-0.018323062
193,-0.08649915,-0.3924429,-0.07303363
194,-0.10470129,-0.07426052,-0.0435724
195,0.11313581,0.046366088,-0.013120335
196,0.2662671,0.15356866,0.069492795
197,-0.12256399,-0.1305414,-0.068023
198,-0.22029544,-0.13333736,-0.061442677
199,0.14499237,0.058847994,0.122026555
200,-0.15514068,-0.30990312,-0.16740006
201,-0.045012623,-0.24958663,-0.057747703
202,-0.078614645,-0.13125299,-0.046575177
203,0.33239976,0.19025613,0.20655002
204,0.0011242973,-0.011702605,-0.01143636
205,-0.08117529,-0.20882711,-0.052058533
206,0.23202856,0.22285762,0.18765017
207,-0.085745595,-0.28787374,-0.07560458
208,-0.0732691,-0.036449198,0.017636295
209,-0.045360304,-0.21355104,-0.14356801
210,-0.046035215,-0.01737728,0.035970505
211,-0.05712895,-0.043387696,0.013445221
212,-0.04281015,-0.36180985,-0.061325546
213,-0.0023180372,-0.1330623,-0.06196811
214,-0.059976142,-0.05795312,-0.029553669
215,-0.040320598,-0.1768544,-0.17370003
216,0.11840002,-0.07899779,0.0011033269
217,0.055303566,-0.07271633,-0.014453852
218,-0.2340317,-0.34306195,-0.18839222
219,-0.09519083,-0.039813954,-0.009318353
